name,student_ID,cum_gpa,major,classification,earned_credits,enrolled,email,gender,in_state
"Hayward, Janey",M41315178,1.558,Computer Science,Freshman,67,No,jhayward6z@csmonitor.com,Female,No
"Sore, Debee",M80792477,2.432,Computer Science,Junior,149,Yes,dsore70@mac.com,Female,Yes
"Carpenter, Berti",M68949357,2.838,Computer Science,Senior,125,Yes,bcarpenter71@state.gov,Male,Yes
"Hilldrop, Jerrilee",M39366552,0.537,Computer Science,Sophomore,41,Yes,jhilldrop72@yale.edu,Female,No
"Dussy, Emlen",M36971741,2.543,Biology,Junior,23,No,edussy73@dmoz.org,Male,No
"Sikorsky, Claudie",M60492657,0.969,Computer Science,Junior,12,No,csikorsky74@weebly.com,Female,No
"Renyard, Byrle",M64610494,2.953,Mathematics,Senior,44,No,brenyard75@admin.ch,Male,No
"Siburn, Kristoffer",M89094576,2.371,Psychology,Freshman,81,Yes,ksiburn76@phoca.cz,Male,Yes
"Core, Patric",M69755748,2.131,Psychology,Freshman,52,No,pcore77@sbwire.com,Male,Yes
"Jamison, Corabella",M37502349,0.735,Mathematics,Junior,124,Yes,cjamison78@addtoany.com,Female,No
"Sime, Marcile",M53576131,0.903,Psychology,Sophomore,7,Yes,msime79@shinystat.com,Female,Yes
"Gunstone, Isiahi",M41992186,0.503,Computer Science,Senior,104,Yes,igunstone7a@wikia.com,Male,No
"Marie, Dona",M49961674,3.132,Mathematics,Sophomore,34,Yes,dmarie7b@boston.com,Female,No
"Pretor, Krishna",M40836652,1.903,Biology,Junior,138,Yes,kpretor7c@nba.com,Male,No
"Cranfield, Bryce",M25298653,1.047,Psychology,Senior,115,No,bcranfield7d@whitehouse.gov,Male,Yes
"Godilington, Terence",M33103413,0.694,Computer Science,Sophomore,24,Yes,tgodilington7e@etsy.com,Male,Yes
"Drysdall, Pamella",M58866159,2.277,Mathematics,Freshman,107,No,pdrysdall7f@zdnet.com,Female,No
"Hellin, Jennee",M55163786,2.912,Psychology,Freshman,83,Yes,jhellin7g@tumblr.com,Female,No
"Gittins, Montague",M79233754,3.177,Computer Science,Sophomore,118,Yes,mgittins7h@statcounter.com,Male,No
"Brandino, Konstantine",M75824254,1.1,Biology,Freshman,146,No,kbrandino7i@vistaprint.com,Male,No
"Leverich, Aldridge",M33566938,1.392,Computer Science,Freshman,102,Yes,aleverich7j@github.io,Male,No
"Attle, Jacky",M87922932,0.57,Biology,Sophomore,63,Yes,jattle7k@merriam-webster.com,Male,No
"Gookey, Ludovika",M63260567,0.906,Mathematics,Sophomore,81,Yes,lgookey7l@fotki.com,Female,Yes
"Rankin, Drona",M45515466,1.368,Psychology,Sophomore,113,Yes,drankin7m@artisteer.com,Female,Yes
"Schumacher, Tobe",M96886533,3.236,Biology,Freshman,108,Yes,tschumacher7n@mlb.com,Female,Yes
"Lissemore, Alastair",M79782500,0.42,Psychology,Freshman,93,Yes,alissemore7o@51.la,Male,Yes
"Ashman, Taite",M80211624,2.836,Biology,Sophomore,104,Yes,tashman7p@miitbeian.gov.cn,Male,Yes
"Noye, Reynard",M36315143,1.876,Mathematics,Freshman,91,No,rnoye7q@cdbaby.com,Male,No
"Hassall, Jordain",M80520833,1.84,Psychology,Sophomore,145,No,jhassall7r@globo.com,Female,No
"Gatchel, Merwyn",M87021913,1.608,Psychology,Freshman,18,Yes,mgatchel7s@redcross.org,Male,Yes
"Chatteris, Virgie",M26163650,1.134,Psychology,Senior,136,Yes,vchatteris7t@senate.gov,Female,Yes
"Van Hove, Tanitansy",M65018987,3.588,Biology,Senior,19,No,tvanhove7u@reuters.com,Female,Yes
"Irvin, Davita",M60208301,1.791,Computer Science,Junior,91,No,dirvin7v@cargocollective.com,Female,Yes
"Hanshaw, Tymon",M46688216,2.15,Mathematics,Freshman,51,Yes,thanshaw7w@noaa.gov,Male,Yes
"Mateu, Iorgos",M88499334,2.696,Psychology,Freshman,16,Yes,imateu7x@apache.org,Male,No
"Ierland, Conrad",M38052687,3.894,Biology,Junior,36,No,cierland7y@prlog.org,Male,Yes
"Markie, Gertrudis",M61622908,3.664,Computer Science,Senior,53,No,gmarkie7z@weibo.com,Female,No
"Feltham, Tallulah",M80673052,2.708,Biology,Sophomore,77,No,tfeltham80@google.fr,Female,Yes
"Brownill, Jacquenetta",M94595327,2.302,Mathematics,Sophomore,145,No,jbrownill81@homestead.com,Female,No
"Rauprich, Noel",M63950031,3.744,Mathematics,Freshman,70,No,nrauprich82@squarespace.com,Male,Yes
"McKinnell, Zarah",M54884696,3.746,Biology,Junior,28,No,zmckinnell83@prlog.org,Female,No
"Edmonson, Edyth",M56198995,1.099,Mathematics,Freshman,107,Yes,eedmonson84@globo.com,Female,Yes
"Searson, Nikolai",M63342806,2.46,Computer Science,Senior,79,Yes,nsearson85@tinyurl.com,Male,Yes
"Oliva, Brady",M91606651,3.838,Biology,Junior,40,No,boliva86@noaa.gov,Male,No
"Stripp, Alys",M87512223,0.861,Computer Science,Freshman,95,Yes,astripp87@bigcartel.com,Female,Yes
"Van Eeden, Michelina",M61851677,0.801,Psychology,Freshman,83,No,mvaneeden88@msu.edu,Female,Yes
"Jeanon, Berget",M21908859,0.145,Mathematics,Junior,109,Yes,bjeanon89@diigo.com,Female,No
"Puddephatt, Juliet",M48181761,3.6,Mathematics,Freshman,59,No,jpuddephatt8a@paypal.com,Female,Yes
"Clemot, Maryjane",M53484506,2.329,Computer Science,Sophomore,50,No,mclemot8b@addthis.com,Female,Yes
"Vondrach, Eolanda",M90621956,2.652,Biology,Sophomore,135,No,evondrach8c@fema.gov,Female,No
"Spyer, Adams",M38274512,2.101,Mathematics,Junior,146,Yes,aspyer8d@sciencedirect.com,Male,Yes
"Ainsworth, Celestine",M75355373,0.473,Psychology,Senior,114,Yes,cainsworth8e@hud.gov,Female,Yes
"Sleet, Linda",M30488220,0.119,Psychology,Junior,38,Yes,lsleet8f@indiegogo.com,Female,Yes
"Faraday, Hodge",M93131609,1.578,Psychology,Senior,108,Yes,hfaraday8g@wikipedia.org,Male,No
"Cutmare, Justen",M86708559,0.958,Biology,Sophomore,101,Yes,jcutmare8h@posterous.com,Male,No
"Peert, Wandie",M40128705,0.556,Mathematics,Junior,3,Yes,wpeert8i@cafepress.com,Female,Yes
"Darker, Corny",M86719012,0.237,Psychology,Senior,90,Yes,cdarker8j@dell.com,Female,No
"Philipsson, Bernarr",M60684211,2.155,Computer Science,Senior,19,Yes,bphilipsson8k@cdbaby.com,Male,Yes
"Brightwell, Xenos",M22612984,1.642,Biology,Senior,102,No,xbrightwell8l@fc2.com,Male,Yes
"Bramhill, Davida",M34415537,1.488,Mathematics,Junior,68,No,dbramhill8m@devhub.com,Female,No
"Pretsell, Adelaida",M98273941,0.443,Computer Science,Junior,109,Yes,apretsell8n@discuz.net,Female,Yes
"Brimm, Tamera",M37616114,1.754,Biology,Freshman,145,Yes,tbrimm8o@yahoo.co.jp,Female,Yes
"Bleier, Sheila-kathryn",M35358780,0.501,Psychology,Freshman,78,No,sbleier8p@qq.com,Female,No
"Britee, Karoly",M55391109,0.275,Biology,Junior,95,Yes,kbritee8q@ebay.com,Male,Yes
"Bleckly, Audre",M41989873,3.701,Computer Science,Junior,28,Yes,ableckly8r@ebay.co.uk,Female,Yes
"Ruddy, Ferrel",M74643604,1.498,Biology,Sophomore,52,Yes,fruddy8s@indiatimes.com,Male,No
"Late, Alisun",M22123907,2.376,Mathematics,Senior,14,Yes,alate8t@wix.com,Female,No
"Matterson, Cedric",M45465764,3.168,Psychology,Freshman,94,Yes,cmatterson8u@spotify.com,Male,Yes
"Stenner, Iorgo",M70073311,2.78,Mathematics,Junior,57,Yes,istenner8v@naver.com,Male,Yes
"Betonia, Ally",M76393087,0.57,Mathematics,Sophomore,128,No,abetonia8w@hubpages.com,Female,No
"Still, Aland",M78682653,3.999,Biology,Senior,68,Yes,astill8x@hao123.com,Male,No
"Skade, Porty",M98161522,3.138,Biology,Senior,74,Yes,pskade8y@twitter.com,Male,Yes
"Senechault, Shelby",M26442648,2.219,Mathematics,Sophomore,34,Yes,ssenechault8z@blogs.com,Male,Yes
"McGarvie, Mic",M95028918,0.992,Psychology,Freshman,22,Yes,mmcgarvie90@sphinn.com,Male,Yes
"Perigo, Candace",M53607412,0.38,Biology,Junior,40,Yes,cperigo91@sphinn.com,Female,Yes
"Deverell, Errol",M49822124,1.621,Psychology,Senior,52,Yes,edeverell92@oaic.gov.au,Male,Yes
"Binnion, Verina",M63488813,2.734,Biology,Sophomore,6,Yes,vbinnion93@acquirethisname.com,Female,No
"Hoston, Starr",M52861333,0.389,Biology,Freshman,99,Yes,shoston94@bravesites.com,Female,Yes
"Sinclaire, Cathrine",M94017838,2.436,Biology,Senior,5,Yes,csinclaire95@fema.gov,Female,No
"Ruddock, Ruggiero",M20211796,3.832,Computer Science,Senior,4,No,rruddock96@meetup.com,Male,No
"Moxon, Clarance",M48410938,1.848,Mathematics,Sophomore,29,Yes,cmoxon97@goo.ne.jp,Male,Yes
"Senecaut, Donavon",M41727417,3.628,Mathematics,Freshman,112,Yes,dsenecaut98@marriott.com,Male,Yes
"Berthouloume, Malva",M78742843,1.338,Mathematics,Freshman,50,Yes,mberthouloume99@delicious.com,Female,Yes
"Eggar, Yulma",M82998129,4,Mathematics,Sophomore,15,No,yeggar9a@bing.com,Male,Yes
"Littlechild, Kalinda",M75863987,3.322,Mathematics,Senior,15,No,klittlechild9b@symantec.com,Female,No
"Urry, Arch",M93742941,0.867,Psychology,Senior,78,Yes,aurry9c@cloudflare.com,Male,Yes
"Muge, Langsdon",M65229704,2.523,Mathematics,Sophomore,46,Yes,lmuge9d@sciencedaily.com,Male,No
"Atkinson, Vasily",M56901764,1.343,Computer Science,Junior,2,Yes,vatkinson9e@instagram.com,Male,No
"Lacroutz, Alfreda",M79943098,1.592,Psychology,Sophomore,13,No,alacroutz9f@businesswire.com,Female,No
"Panton, Hyacinthe",M95877281,2.053,Computer Science,Senior,117,Yes,hpanton9g@cnet.com,Female,No
"Keaysell, Ken",M42916591,1.984,Computer Science,Sophomore,6,No,kkeaysell9h@nydailynews.com,Male,No
"Simenon, Claudia",M92444350,1.612,Computer Science,Freshman,108,Yes,csimenon9i@addtoany.com,Female,Yes
"Brodie, Dela",M37861515,2.486,Psychology,Senior,105,Yes,dbrodie9j@scribd.com,Female,No
"Doore, Galvin",M59407445,1.237,Psychology,Senior,23,No,gdoore9k@ow.ly,Male,Yes
"Myrtle, Hendrick",M58214536,1.029,Psychology,Senior,131,No,hmyrtle9l@blogs.com,Male,No
"Cockin, Charin",M24320016,1.075,Psychology,Junior,3,Yes,ccockin9m@cocolog-nifty.com,Female,No
"Milington, Hank",M76815887,3.97,Mathematics,Junior,148,No,hmilington9n@senate.gov,Male,No
"Colborn, Gunter",M95720902,3.408,Mathematics,Senior,116,Yes,gcolborn9o@fc2.com,Male,Yes
"Gresham, Reggy",M74199478,3.746,Computer Science,Freshman,145,Yes,rgresham9p@go.com,Male,Yes
"Pablo, Brandy",M83608404,0.599,Psychology,Senior,13,No,bpablo9q@examiner.com,Male,No
"Kirkness, Marlon",M45616827,2.345,Biology,Sophomore,132,Yes,mkirkness9r@seattletimes.com,Male,Yes
"Peirce, Iris",M88176348,3.088,Computer Science,Freshman,139,Yes,ipeirce9s@1688.com,Female,Yes
"Kemitt, Elane",M77514457,1.865,Biology,Senior,100,No,ekemitt9t@slate.com,Female,Yes
"Heinert, Myrle",M28590585,2.253,Biology,Senior,53,Yes,mheinert9u@yellowbook.com,Female,No
"Seares, Chastity",M79745572,1.733,Psychology,Freshman,70,No,cseares9v@timesonline.co.uk,Female,No
"Cuttelar, Leda",M45349507,2.226,Biology,Senior,51,No,lcuttelar9w@linkedin.com,Female,Yes
"Schole, Barrett",M53017362,1.498,Biology,Senior,87,No,bschole9x@mozilla.org,Male,No
"Bilham, Marina",M65033106,1.354,Computer Science,Senior,115,Yes,mbilham9y@g.co,Female,Yes
"Lewsy, Nerita",M80423291,1.013,Psychology,Junior,44,Yes,nlewsy9z@biblegateway.com,Female,Yes
"Norvel, Darbee",M83911507,1.027,Psychology,Junior,73,Yes,dnorvela0@theguardian.com,Male,Yes
"Allmond, Violette",M95803579,0.321,Biology,Freshman,2,No,vallmonda1@cornell.edu,Female,Yes
"Burrass, Else",M75968570,0.461,Psychology,Senior,10,Yes,eburrassa2@dailymotion.com,Female,Yes
"Maxwell, Anett",M50586087,2.997,Mathematics,Junior,21,Yes,amaxwella3@ed.gov,Female,Yes
"Kennler, Darbie",M69515199,0.173,Biology,Freshman,103,Yes,dkennlera4@berkeley.edu,Female,Yes
"Golborne, Kirsten",M21893374,1.962,Computer Science,Freshman,66,No,kgolbornea5@va.gov,Female,Yes
"Crisford, Tabitha",M98891545,2.147,Biology,Sophomore,90,Yes,tcrisforda6@dagondesign.com,Female,No
"MacNeice, Prent",M59235005,0.493,Computer Science,Sophomore,0,Yes,pmacneicea7@tinypic.com,Male,Yes
"Keaveny, Law",M76944902,2.899,Mathematics,Freshman,117,No,lkeavenya8@spiegel.de,Male,Yes
"Fulstow, Hatty",M60887938,3.168,Psychology,Sophomore,118,Yes,hfulstowa9@noaa.gov,Female,No
"Ditter, Phil",M86263952,2.356,Mathematics,Sophomore,111,No,pditteraa@guardian.co.uk,Female,No
"Beccera, Erwin",M81015717,1.945,Biology,Senior,123,No,ebecceraab@examiner.com,Male,No
"Jagiela, Dorrie",M42579074,0.111,Biology,Freshman,27,Yes,djagielaac@netvibes.com,Female,Yes
"Carncross, Chrotoem",M85217210,2.855,Mathematics,Sophomore,115,Yes,ccarncrossad@tripod.com,Male,Yes
"Whorlow, Tabby",M43060000,1.54,Psychology,Sophomore,35,No,twhorlowae@goodreads.com,Female,No
"Cruickshanks, Charmion",M56405987,1.814,Psychology,Freshman,93,No,ccruickshanksaf@constantcontact.com,Female,Yes
"O'Fairy, Cate",M31821867,1.977,Biology,Freshman,125,No,cofairyag@virginia.edu,Female,No
"Ledger, Sanderson",M68991030,1.975,Computer Science,Senior,64,Yes,sledgerah@last.fm,Male,Yes
"Terne, Shirline",M35123133,1.735,Psychology,Junior,65,No,sterneai@gmpg.org,Female,No
"Shanks, Lori",M38887534,2.989,Psychology,Sophomore,41,Yes,lshanksaj@usgs.gov,Female,Yes
"Behr, Harlie",M37045864,2.702,Mathematics,Sophomore,42,Yes,hbehrak@reverbnation.com,Female,Yes
"Porcher, Edd",M95617716,0.384,Biology,Senior,142,No,eporcheral@zdnet.com,Male,Yes
"Galier, Charmian",M77515717,1.349,Biology,Freshman,141,No,cgalieram@digg.com,Female,No
"Tanswell, Lela",M97390294,2.364,Computer Science,Freshman,104,No,ltanswellan@blogspot.com,Female,No
"Ropert, Hyman",M44102769,2.576,Mathematics,Freshman,49,No,hropertao@bbb.org,Male,No
"Oxteby, Robin",M27185363,3.607,Computer Science,Junior,123,No,roxtebyap@nsw.gov.au,Female,Yes
"Crossingham, Francine",M28389148,1.616,Biology,Freshman,20,No,fcrossinghamaq@eepurl.com,Female,Yes
"Wentworth, Christoffer",M23674887,3.425,Computer Science,Senior,39,Yes,cwentworthar@canalblog.com,Male,Yes
"Saw, Rockey",M22572175,0.084,Biology,Sophomore,60,No,rsawas@github.io,Male,Yes
"Cranch, Reiko",M58661834,2.746,Biology,Senior,94,No,rcranchat@earthlink.net,Female,No
"Morhall, Dino",M53632105,0.135,Psychology,Senior,74,No,dmorhallau@people.com.cn,Male,Yes
"Sulter, Audra",M38924886,1.431,Mathematics,Junior,83,Yes,asulterav@last.fm,Female,Yes
"Edgley, Justin",M39508650,1.788,Biology,Freshman,138,Yes,jedgleyaw@github.io,Male,Yes
"Keeler, Obadiah",M44849877,3.82,Psychology,Junior,72,Yes,okeelerax@cnet.com,Male,Yes
"Kernley, Man",M72514740,3.952,Biology,Senior,107,No,mkernleyay@woothemes.com,Male,No
"Rathe, Tabor",M64076457,0.079,Mathematics,Junior,39,Yes,tratheaz@foxnews.com,Male,No
"Coolbear, Bobbe",M99957366,3.07,Biology,Freshman,125,Yes,bcoolbearb0@sohu.com,Female,No
"Ebenezer, Dorita",M72893729,1.339,Biology,Freshman,39,No,debenezerb1@mysql.com,Female,No
"Seeds, Lilah",M75733497,3.963,Mathematics,Freshman,13,No,lseedsb2@google.com.br,Female,No
"Branwhite, Ninon",M81634820,2.311,Biology,Freshman,62,No,nbranwhiteb3@macromedia.com,Female,No
"Stiger, Halley",M41901423,1.743,Biology,Senior,57,No,hstigerb4@spotify.com,Female,Yes
"Hobson, Lissie",M23231135,1.745,Biology,Junior,22,Yes,lhobsonb5@hud.gov,Female,Yes
"Vooght, Pia",M49277029,1.813,Psychology,Freshman,99,Yes,pvooghtb6@mysql.com,Female,Yes
"Clarricoates, Padraic",M29297405,3.33,Mathematics,Senior,145,No,pclarricoatesb7@creativecommons.org,Male,No
"Pinwill, Reynolds",M52857079,2.707,Mathematics,Sophomore,2,Yes,rpinwillb8@prweb.com,Male,Yes
"Listone, Alika",M52070317,3.098,Biology,Sophomore,53,No,alistoneb9@google.pl,Female,No
"Pfeifer, Quinn",M46196536,1.158,Mathematics,Senior,87,No,qpfeiferba@uiuc.edu,Male,Yes
"Courcey, Cyrillus",M98673377,1.313,Biology,Freshman,113,Yes,ccourceybb@people.com.cn,Male,Yes
"Gobel, Tana",M65304272,3.512,Biology,Senior,148,No,tgobelbc@home.pl,Female,No
"Allett, Selby",M49130802,2.289,Biology,Freshman,86,No,sallettbd@dell.com,Male,Yes
"Stanbrooke, Brandy",M22379527,1.899,Psychology,Sophomore,136,No,bstanbrookebe@guardian.co.uk,Male,No
"Cluely, Marice",M62848472,3.295,Biology,Junior,69,Yes,mcluelybf@usda.gov,Female,No
"Marking, Flory",M62327054,3.44,Biology,Sophomore,2,Yes,fmarkingbg@whitehouse.gov,Male,No
"Oates, Shalna",M84512007,1.327,Psychology,Senior,146,Yes,soatesbh@baidu.com,Female,No
"Songist, Dunn",M26881098,0.011,Biology,Freshman,96,No,dsongistbi@irs.gov,Male,Yes
"Ramelet, Margot",M69287262,3.276,Biology,Sophomore,113,Yes,mrameletbj@cnbc.com,Female,No
"Bobasch, Mathew",M30992911,0.918,Mathematics,Freshman,19,Yes,mbobaschbk@google.nl,Male,No
"Borkin, Ingeberg",M66310062,0.504,Biology,Senior,129,No,iborkinbl@odnoklassniki.ru,Female,Yes
"Carbett, Corie",M64777141,2.343,Mathematics,Sophomore,100,Yes,ccarbettbm@loc.gov,Female,No
"Doumenc, Ted",M49131694,3.634,Biology,Junior,2,No,tdoumencbn@amazon.co.jp,Female,Yes
"Danilovitch, Daven",M72031191,0.812,Computer Science,Sophomore,73,Yes,ddanilovitchbo@ning.com,Male,Yes
"Jackson, Jocko",M63522166,1.271,Psychology,Junior,12,No,jjacksonbp@comsenz.com,Male,Yes
"Pamphilon, Anet",M21025596,2.902,Biology,Junior,17,Yes,apamphilonbq@alexa.com,Female,Yes
"Winchcum, Cora",M95912528,2.481,Biology,Sophomore,6,Yes,cwinchcumbr@cnn.com,Female,No
"Blomfield, Maxie",M55361478,2.43,Psychology,Senior,93,Yes,mblomfieldbs@google.co.uk,Female,Yes
"Rolfini, Lauralee",M67231513,1.98,Psychology,Junior,144,No,lrolfinibt@google.it,Female,No
"Gwyneth, Farley",M59141393,3.428,Mathematics,Junior,106,No,fgwynethbu@usa.gov,Male,No
"Wife, Raynor",M97891770,3.69,Biology,Sophomore,90,Yes,rwifebv@desdev.cn,Male,Yes
"Wicklin, Yorke",M30309337,1.778,Computer Science,Junior,89,No,ywicklinbw@zdnet.com,Male,No
"Folli, Inessa",M33997066,3.81,Biology,Junior,109,Yes,ifollibx@gravatar.com,Female,No
"Boar, Genovera",M26441379,2.854,Psychology,Senior,116,Yes,gboarby@e-recht24.de,Female,Yes
"Ezzy, Dredi",M56420529,2.717,Mathematics,Senior,130,Yes,dezzybz@behance.net,Female,No
"Minet, Melisandra",M27900914,3.383,Mathematics,Junior,117,Yes,mminetc0@dropbox.com,Female,No
"Levicount, Emmy",M55068745,1.023,Mathematics,Freshman,32,Yes,elevicountc1@wikispaces.com,Male,Yes
"Roake, Anna-diane",M88375889,3.851,Computer Science,Senior,115,Yes,aroakec2@desdev.cn,Female,No
"Melesk, Terrence",M79530938,3.099,Computer Science,Junior,53,No,tmeleskc3@parallels.com,Male,No
"Sansun, Darcee",M21732476,3.36,Biology,Junior,113,No,dsansunc4@diigo.com,Female,No
"Lattos, Lazaro",M42899430,1.002,Computer Science,Junior,68,No,llattosc5@naver.com,Male,Yes
"Meeke, Dorise",M54791450,1.453,Biology,Senior,45,No,dmeekec6@addthis.com,Female,Yes
"Manklow, Rena",M72999017,0.502,Biology,Senior,39,No,rmanklowc7@vinaora.com,Female,Yes
"Beert, Ofella",M88493122,2.666,Psychology,Sophomore,115,No,obeertc8@umn.edu,Female,Yes
"Osipov, Hedvige",M37641750,2.16,Mathematics,Sophomore,94,No,hosipovc9@umich.edu,Female,Yes
"Bartolijn, Andrey",M86855369,3.239,Mathematics,Senior,80,No,abartolijnca@myspace.com,Male,No
"Racine, Cindelyn",M35659242,0.564,Computer Science,Sophomore,48,Yes,cracinecb@europa.eu,Female,No
"Schorah, Arabele",M86056804,2.803,Psychology,Junior,111,No,aschorahcc@csmonitor.com,Female,No
"Sear, Reina",M31923332,3.095,Mathematics,Junior,56,No,rsearcd@loc.gov,Female,Yes
"Kennealy, Silvain",M28221127,1.674,Biology,Junior,131,Yes,skennealyce@discuz.net,Male,Yes
"Feldstern, Windham",M76731352,2.13,Computer Science,Senior,74,Yes,wfeldsterncf@nydailynews.com,Male,No
"Ashness, Estella",M69915748,2.209,Psychology,Senior,149,No,eashnesscg@tamu.edu,Female,Yes
"Bartod, Orville",M63120969,0.497,Biology,Senior,87,Yes,obartodch@springer.com,Male,No
"Wallenger, Taffy",M70716605,3.32,Psychology,Freshman,22,No,twallengerci@aol.com,Female,No
"Durkin, Calv",M22168925,0.63,Computer Science,Senior,45,No,cdurkincj@themeforest.net,Male,Yes
"Michael, Gelya",M97929989,3.476,Biology,Sophomore,78,Yes,gmichaelck@surveymonkey.com,Female,No
"Leppingwell, Dale",M51576431,3.836,Computer Science,Freshman,104,Yes,dleppingwellcl@comcast.net,Female,No
"Stratford, Bogart",M67978550,0.43,Mathematics,Freshman,104,No,bstratfordcm@ning.com,Male,Yes
"Flanaghan, Fallon",M65256928,3.757,Mathematics,Junior,139,No,fflanaghancn@prnewswire.com,Female,No
"Gheraldi, Kassandra",M96940573,2.81,Biology,Freshman,62,Yes,kgheraldico@shinystat.com,Female,Yes
"McCallion, Danice",M40340020,3.583,Mathematics,Senior,26,Yes,dmccallioncp@dailymotion.com,Female,Yes
"Braden, Waite",M56027512,3.01,Psychology,Junior,138,No,wbradencq@ucoz.ru,Male,Yes
"Taggerty, Jeremy",M60607070,1.477,Mathematics,Sophomore,77,No,jtaggertycr@twitpic.com,Male,No
"Kerfoot, Hedda",M56956757,3.631,Computer Science,Sophomore,125,Yes,hkerfootcs@linkedin.com,Female,No
"Simonetti, Geralda",M63508712,0.443,Computer Science,Junior,137,No,gsimonettict@mtv.com,Female,Yes
"Ormistone, Delainey",M80096230,3.045,Computer Science,Freshman,131,No,dormistonecu@bizjournals.com,Male,Yes
"Aujouanet, Vale",M71583500,0.53,Biology,Senior,133,Yes,vaujouanetcv@hao123.com,Male,No
"Squire, Neilla",M76931830,0.958,Computer Science,Senior,38,Yes,nsquirecw@usgs.gov,Female,Yes
"Babington, Bogey",M51000550,0.442,Psychology,Sophomore,84,Yes,bbabingtoncx@odnoklassniki.ru,Male,Yes
"Fullick, Alika",M65201340,2.201,Psychology,Junior,101,Yes,afullickcy@mozilla.org,Female,Yes
"Balint, Edgar",M72729289,0.945,Psychology,Senior,28,No,ebalintcz@geocities.com,Male,No
"Atterbury, Ainsley",M59413911,2.286,Mathematics,Sophomore,36,No,aatterburyd0@berkeley.edu,Female,No
"Latta, Caril",M49343207,0.732,Mathematics,Junior,120,No,clattad1@shutterfly.com,Female,No
"Hardwich, Inger",M82043157,2.033,Mathematics,Freshman,9,Yes,ihardwichd2@google.com,Male,No
"Eassom, Nickolas",M36064674,2.9,Mathematics,Junior,90,Yes,neassomd3@businessweek.com,Male,Yes
"Spiers, Aidan",M68520254,1.197,Psychology,Senior,19,No,aspiersd4@a8.net,Female,No
"Killough, Edyth",M94218548,2.849,Mathematics,Freshman,142,Yes,ekilloughd5@home.pl,Female,Yes
"Knotton, Caroljean",M70549353,1.412,Computer Science,Senior,100,Yes,cknottond6@virginia.edu,Female,No
"Castellini, Haven",M58215798,1.984,Psychology,Sophomore,30,No,hcastellinid7@umich.edu,Male,No
"Romi, Deanna",M90356259,2.573,Biology,Sophomore,80,Yes,dromid8@1688.com,Female,No
"Martel, Tani",M96572577,2.808,Mathematics,Sophomore,0,Yes,tmarteld9@lulu.com,Female,No
"Antoinet, Timothea",M53782748,2.919,Mathematics,Freshman,7,Yes,tantoinetda@vkontakte.ru,Female,No
"Biggerdike, Ashlin",M80717456,1.808,Computer Science,Senior,80,Yes,abiggerdikedb@mlb.com,Male,No
"Wakeham, Kirsti",M60918289,3.105,Biology,Junior,17,No,kwakehamdc@discuz.net,Female,No
"Megahey, Odey",M36684925,1.063,Mathematics,Junior,8,Yes,omegaheydd@icq.com,Male,No
"Dewire, Datha",M26838074,0.805,Mathematics,Sophomore,143,No,ddewirede@printfriendly.com,Female,Yes
"Somerset, Gabbey",M42272706,3.803,Computer Science,Sophomore,76,No,gsomersetdf@about.com,Female,Yes
"Baguley, Star",M26823744,4,Psychology,Sophomore,138,No,sbaguleydg@webmd.com,Female,Yes
"Hairs, Desdemona",M67326828,4,Psychology,Sophomore,116,Yes,dhairsdh@yelp.com,Female,Yes
"Harrod, Yulma",M99117733,1.918,Computer Science,Senior,11,No,yharroddi@addtoany.com,Male,Yes
"Simpkin, Guillermo",M84344092,2.749,Psychology,Freshman,77,Yes,gsimpkindj@howstuffworks.com,Male,Yes
"Averies, Carr",M70238711,0.928,Biology,Freshman,81,Yes,caveriesdk@dion.ne.jp,Male,No
"Prandi, Burke",M77506247,2.595,Psychology,Sophomore,140,No,bprandidl@discovery.com,Male,Yes
"Bynold, Farrel",M39832465,2.607,Mathematics,Freshman,29,No,fbynolddm@constantcontact.com,Male,No
"Bigley, Federico",M65491048,2.721,Mathematics,Junior,125,Yes,fbigleydn@webs.com,Male,No
"Thomerson, Darcey",M81176266,1.291,Biology,Sophomore,83,No,dthomersondo@army.mil,Female,No
"Pennycook, Gates",M53846467,2.737,Mathematics,Sophomore,19,No,gpennycookdp@adobe.com,Female,Yes
"Groombridge, Jonathon",M82789999,0.014,Biology,Freshman,91,No,jgroombridgedq@blogs.com,Male,Yes
"Kernoghan, Ertha",M69544972,1.542,Psychology,Freshman,41,No,ekernoghandr@php.net,Female,No
"Plesing, Kare",M82501563,3.958,Psychology,Freshman,24,Yes,kplesingds@pcworld.com,Female,Yes
"Erbe, Harcourt",M50711087,3.337,Mathematics,Senior,126,No,herbedt@jalbum.net,Male,No
"Dearman, Othella",M99759916,2.588,Psychology,Junior,68,Yes,odearmandu@blinklist.com,Female,Yes
"Lodin, Vassili",M22821817,3.573,Psychology,Junior,50,No,vlodindv@wikimedia.org,Male,No
"Caswall, Dinnie",M41466740,2.065,Mathematics,Freshman,0,No,dcaswalldw@deliciousdays.com,Female,Yes
"Faughey, Fin",M37353781,3.609,Psychology,Freshman,61,No,ffaugheydx@blogspot.com,Male,No
"Devaney, Fremont",M92627084,0.166,Biology,Junior,28,Yes,fdevaneydy@indiatimes.com,Male,Yes
"Glaysher, Heinrik",M24771774,3.697,Biology,Freshman,101,Yes,hglaysherdz@alibaba.com,Male,Yes
